OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,LONGITUDE,LATITUDE
Vivian Gravel,mineral deposit,WA,Gravel,120.551,-27.9916
Yarrie Rail Gravel 2,mineral deposit,WA,"Gravel, Sand - undifferentiated, Aggregate - undifferentiated",120.2964,-20.6341
Red Gum Spongolite,mineral deposit,WA,Spongolite,117.731,-34.4597
Johnny Walker (66),mineral deposit,WA,Lead,114.6462,-28.2625
Mendip (66),mineral deposit,WA,"Lead, Zinc",114.775,-28.4879
Camel Hill Aggregate 1,mineral deposit,WA,"Aggregate - undifferentiated, Dolerite",118.8923,-21.255
Camel Hill Aggregate 2,mineral deposit,WA,"Aggregate - undifferentiated, Dolerite",118.8945,-21.2766
Newdegate Dolomite,mineral deposit,WA,"Dolomite, Agricultural Lime",119.0009,-33.0435
Serpentine Creek West,mineral deposit,WA,Iron,116.8757,-22.3494
Outcamp 1,Mine - Openpit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",119.9494,-22.0248
Kununurra 1 / Guerinoni,mineral deposit,WA,Sand - undifferentiated,128.745,-15.7489
Blatchfords,mineral deposit,WA,"Alumina, Iron, Unspecified/Unknown, Chromium oxide, Chromium",120.2771,-23.4914
Kingfisher / Sinosteel,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Sulphur, Titanium dioxide, Iron, Magnetite",118.5188,-25.5536
Joyners Find - JWD,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron",119.9546,-26.7918
Scrubby Hill / Vandeleur,Mine - Openpit,WA,"Limestone, Aggregate - undifferentiated, Sand - undifferentiated",113.7329,-24.7736
Terapod MR5 - Mungada,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",116.8818,-29.1296
Lake Goorly Group,mineral deposit,WA,Gypsum,116.8942,-29.9599
Postans - Abercrombie Rd 2 / WA Limestone,mineral deposit,WA,"Sand - undifferentiated, Aggregate - undifferentiated, Limestone",115.8017,-32.2167
Postans - Abercrombie Rd 3 / WA Limestone,mineral deposit,WA,"Limestone, Sand - undifferentiated, Aggregate - undifferentiated",115.8004,-32.214
Gascoyne River Sand M09/20,Mine - Openpit,WA,Sand - undifferentiated,113.7335,-24.8485
Catho Well Central Pits,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2713,-22.4065
Bay - Barrambie,mineral deposit,WA,"Vanadium, Titanium, Magnetite",119.1173,-27.4251
Gulf - Barrambie,mineral deposit,WA,"Vanadium, Titanium, Magnetite",119.1258,-27.4466
Alice East 1,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",119.1215,-20.2566
Olivia 1,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",119.0967,-20.2719
Lake Hillman M70/248,mineral deposit,WA,Gypsum,117.1629,-30.3064
Lake Hillman M70/342,mineral deposit,WA,Gypsum,117.1636,-30.3221
Harewoods Road Lots 2 & 3 Dalyellup / Piacentini,mineral deposit,WA,"Sand - undifferentiated, Limesand, Limestone",115.6141,-33.4126
Hopkins Road 2 Nowergup / Limestone Building Block Co,mineral deposit,WA,"Limestone, Dimension stone",115.7651,-31.6205
Hopkins Road 3 Nowergup / Limestone Building Block Co,mineral deposit,WA,Limestone,115.7632,-31.625
Johnston Rd  Lot 2 Wagerup / Hanson,mineral deposit,WA,Sand - undifferentiated,115.7648,-32.9092
Ludlow Rd Lot 2 Myalup / Catalano,mineral deposit,WA,"Limestone, Limesand",115.6928,-32.9579
Dampier Salt Group,mineral deposit,WA,Salt,116.718,-20.724
Collison,Mine - Openpit,WA,Coal - brown,121.4142,-32.7757
Salmon Gums Resources Group,Mine - Openpit,WA,Coal - brown,121.4142,-32.7757
Waroona Environmental Group,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Leucoxene, Monazite",115.9285,-32.8257
Fold Nose - Canegrass,mineral deposit,WA,"Alumina, Iron, Phosphorus, Unspecified/Unknown, Titanium dioxide, Vanadium pentoxide, Magnetite, Vanadium, Titanium",118.4011,-28.3571
Meru,mineral deposit,WA,"Sand - undifferentiated, Gravel, Limestone",114.6658,-28.8026
Burran Rock Gypsum,mineral deposit,WA,Gypsum,118.0079,-31.3123
Friendly Creek 2,mineral deposit,WA,Tin,118.3238,-21.2417
Kumina J,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron",117.1104,-21.8551
Asbestos Gorge,mineral deposit,WA,"Asbestos - crocidolite, Ornamental stone",117.7956,-21.9888
Miller Gorge,mineral deposit,WA,"Asbestos - crocidolite, Ornamental stone",117.8348,-21.96
Kumina Creek 1,mineral deposit,WA,Iron,116.8428,-21.8338
Sheila Valley Southwest BID,Deposit - Unspecified,WA,Iron,117.6322,-22.2405
Sheila Valley Southwest CID,Deposit - Unspecified,WA,Iron,117.6544,-22.2542
Clackline (kaolin),mineral deposit,WA,Kaolin,116.5187,-31.7155
Ryans Find south,Deposit - Unspecified,WA,"Halloysite, Kaolin",120.2044,-30.9318
Mukinbudin Feldspar Pit 2,Mine - Openpit,WA,"Feldspar, Kaolin",118.1442,-30.893
Kumina A,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron",116.8375,-21.8146
Mt Burges Magnesite,mineral deposit,WA,Magnesite,121.0841,-30.8439
Mt Hunt / Jones (26),mineral deposit,WA,Magnesite,121.5089,-30.8382
Red Lake 2,Deposit - Unspecified,WA,Gypsum,118.4463,-31.0957
Cunderdin East-Northeast 2,Deposit - Unspecified,WA,Gypsum,117.3375,-31.6248
Chiarcono,Deposit - Unspecified,WA,Gypsum,116.2225,-30.1182
Davis River,Mine - Openpit,WA,Manganese,120.7333,-22.149
Carpenter Gap 1,Mine - Openpit,WA,Dimension stone,125.037,-17.4299
Carpenter Gap 2,Mine - Openpit,WA,Dimension stone,125.0418,-17.4237
Yampire Crocidolite,mineral deposit,WA,Asbestos - crocidolite,118.4529,-22.4136
Mt Rove A,mineral deposit,WA,"Iron, Manganese",120.7444,-22.0742
Balfour South C,mineral deposit,WA,Manganese,120.5844,-23.1399
Balfour South D,mineral deposit,WA,Manganese,120.5935,-23.1406
Mackay Prospect,mineral deposit,WA,Asbestos - crocidolite,117.2479,-22.3259
Lake Don / ASQ,Deposit - Unspecified,WA,"Unspecified/Unknown, Silica sand",117.6653,-34.7154
Pincunah North 4,mineral deposit,WA,Iron,118.8717,-21.1959
Toodyay SW,Mine - Openpit,WA,Sand - undifferentiated,116.4475,-31.604
Goomalling 1 (Sd),Mine - Openpit,WA,Sand - undifferentiated,116.9331,-31.352
Goomalling 2 (Sd),Mine - Openpit,WA,Sand - undifferentiated,116.9802,-31.2596
Bullabulling Sand / Scorpion,Mine - Openpit,WA,Sand - undifferentiated,120.9622,-30.9836
Watsons prospect,mineral deposit,WA,Asbestos - crocidolite,117.3597,-22.3123
Maleys prospect,mineral deposit,WA,Asbestos - crocidolite,117.3955,-22.3173
Foxall prospect,mineral deposit,WA,Asbestos - crocidolite,117.4296,-22.3215
Dun prospect,mineral deposit,WA,Asbestos - crocidolite,117.4293,-22.327
West Ballast Island,mineral deposit,WA,Iron,123.7971,-16.1673
East Ballast Island,mineral deposit,WA,Iron,123.8032,-16.1707
Mt Mann SE,mineral deposit,WA,"Corundum - undifferentiated, Lithium",120.5584,-27.4869
PAE 25/3,Mine - Openpit,WA,"Nickel, Cobalt",122.1888,-29.0625
Victory Bore,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Titanium dioxide, Vanadium pentoxide, Magnetite, Vanadium, Titanium, Iron",118.989,-28.2619
Bald Hill Central (South),Mine - Openpit,WA,"Tantalum pentoxide, Lithium, Tantalum",122.1779,-31.5231
Trig Hill - Pippingarra Rd,mineral deposit,WA,"Aggregate - undifferentiated, Aggregate - coarse, Sand - undifferentiated",118.6896,-20.5852
Swan Lake East,mineral deposit,WA,Heavy minerals,115.203,-34.2915
Devils Creek South Road Lot 1510 Gairdner / Dorrell,mineral deposit,WA,Dolomite,119.0503,-34.2878
Bald Hill Group,mineral deposit,WA,"Lithium oxide, Tantalum pentoxide, Tantalum",122.1747,-31.5194
Hopetoun Sand,mineral deposit,WA,Sand - undifferentiated,120.1239,-33.9347
Tamarine Rd Limestone 1 / First Quantum,mineral deposit,WA,"Limestone, Limesand",120.2744,-33.8038
Tamarine Rd Limestone 2 / First Quantum,mineral deposit,WA,"Limestone, Limesand",120.2879,-33.8042
Ocean Beach Stage 1,mineral deposit,WA,"Agricultural Lime, Limesand, Limestone",117.3258,-35.0318
Ocean Beach Stage 2,mineral deposit,WA,Limesand,117.3232,-35.0325
Long-Victor Group,mineral deposit,WA,Nickel,121.6784,-31.1778
Cairn 1,mineral deposit,WA,"Beryl - undifferentiated, Beryl - aquamarine, Beryl - heliodor, Tourmaline, Tantalum, Niobium, Uranium",116.0243,-24.5102
Gnargoo Range North,mineral deposit,WA,Limestone,113.963,-23.5422
Yinnietharra Dravite 2,mineral deposit,WA,Tourmaline,116.1784,-24.5584
Jade Pegmatite,mineral deposit,WA,"Gemstones, Beryl - undifferentiated, Tantalum, Niobium, Apatite",116.1977,-24.5315
Area A - Marandoo West,Deposit - Unspecified,WA,Iron,117.9281,-22.3791
Area B - Marandoo West,Deposit - Unspecified,WA,Iron,117.9085,-22.3977
Kens Bore East,Deposit - Unspecified,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2219,-22.0762
PAN 4/1 (filled-in),mineral deposit,WA,"Nickel, Cobalt",121.8486,-28.8217
PAN 4/2,mineral deposit,WA,"Nickel, Cobalt",121.8454,-28.8262
PAE 26/3,Mine - Openpit,WA,"Nickel, Cobalt",122.1972,-29.0724
PAE 29/5,mineral deposit,WA,"Nickel, Cobalt",122.1626,-28.9977
PAE 22/1,Mine - Openpit,WA,"Nickel, Cobalt",122.1669,-29.0832
PAE 24/1,Mine - Openpit,WA,"Nickel, Cobalt",122.174,-29.0824
PAE 27/1,Mine - Openpit,WA,"Nickel, Cobalt",122.1828,-29.0639
Ocean Hill - North Mine Area,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Rutile, Monazite",115.3231,-29.8109
Depot Hill East,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Rutile, Monazite",115.328,-29.7815
Seppelt 2 Test Pit,mineral deposit,WA,Diamond - undifferentiated,127.3579,-14.4786
Iron Hill,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron",117.1754,-29.6033
Kununurra Gravel M80/572,mineral deposit,WA,"Gravel, Sand - undifferentiated",128.6126,-15.7619
Cardo Bore East,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2288,-22.194
Yalyalup / Doral,Deposit - Unspecified,WA,"Unspecified/Unknown, Heavy minerals, Leucoxene, Ilmenite, Zircon, Rutile",115.4687,-33.6945
Wildcat PGE - Baron,mineral deposit,WA,"Platinum, Palladium",117.4356,-29.0584
Sheela Bore Environmental Group,Mine - Openpit,WA,"Marble, Dimension stone",115.7937,-23.5276
Susan Palmer (Balmoral Southern Block),mineral deposit,WA,"Unspecified/Unknown, Iron, Magnetite",116.1295,-21.1178
Hopetoun Limestone / Fisher,mineral deposit,WA,"Agricultural Lime, Limestone, Gravel, Sand - undifferentiated",120.1208,-33.9095
Cheela Marble 2,Mine - Openpit,WA,"Marble, Dimension stone",116.7668,-22.9032
Red Well Mgs,mineral deposit,WA,Magnesite,118.3992,-26.488
Range Well Ni 2,mineral deposit,WA,"Nickel, Cobalt",117.7918,-26.8238
Valley Bore South,mineral deposit,WA,Iron,118.9976,-25.7183
Poona Reward,mineral deposit,WA,"Beryl - emerald, Beryl - undifferentiated",117.4416,-27.1332
Reward West,mineral deposit,WA,"Beryl - emerald, Beryl - undifferentiated",117.4383,-27.1335
Robinson Range - Deposit D,mineral deposit,WA,Iron,119.0358,-25.6967
Robinson Range - Deposit F1,mineral deposit,WA,Iron,119.1118,-25.6691
Robinson Range - Deposit F2,mineral deposit,WA,Iron,119.1107,-25.6703
Robinson Range - Deposit C,mineral deposit,WA,Iron,118.9868,-25.7756
Deposit G - Areas G and H,mineral deposit,WA,Iron,118.7959,-25.776
Jabiru Iron,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Titanium dioxide, Alumina, Iron",118.3843,-25.6914
Deposit E1 - Area L,mineral deposit,WA,Iron,118.4974,-25.6849
Deposit E2 - Area L,mineral deposit,WA,Iron,118.506,-25.6731
Deposit E3 - Area L,mineral deposit,WA,Iron,118.4942,-25.6704
Chester East,mineral deposit,WA,Limestone,117.8037,-27.335
Telecom Hill East,Deposit - Unspecified,WA,"Alumina, Unspecified/Unknown, Magnesia (magnesium oxide), Phosphorus, Sulphur, Iron, Magnetite",118.5762,-25.5501
Robinson Range Syncline 5,mineral deposit,WA,Iron,119.1569,-25.6301
Brand Hwy Lot 2453 Cape Burney / Wilson,mineral deposit,WA,"Agricultural Lime, Limesand",114.6313,-28.8305
Kununurra Shingle / JAB,Mine - Openpit,WA,"Gravel, Sand - undifferentiated",128.6954,-15.762
Finn Rd Lot 3617 Myalup / Lake Preston Lime,mineral deposit,WA,Limestone,115.7033,-33.0236
Old Coast Rd Lot 122 Parkfield / Hovey,mineral deposit,WA,Sand - undifferentiated,115.7227,-33.1589
Whicher Northeast,Deposit - Unspecified,WA,"Leucoxene, Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon",115.549,-33.7199
Mt Anketell A,mineral deposit,WA,"Iron, Magnetite",117.0909,-20.6889
Phils Creek - Three Sisters CID,mineral deposit,WA,Iron,119.1878,-22.737
Extension Pit 2,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron",119.0501,-22.6967
Rocklea Central West Pit 2,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",117.4778,-22.8114
Brockman Tiger Eye / Archer,mineral deposit,WA,"Ornamental stone, Jasper",117.4307,-22.3255
Richards Rd Lot 15 Waroona / Waroona Resources,mineral deposit,WA,Sand - undifferentiated,115.819,-32.8546
Mungada Gully,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",116.9053,-29.1372
Chester Pass Road Lot 5824,mineral deposit,WA,Sand - undifferentiated,117.9593,-34.7912
Chester Pass Road Lot 3464,mineral deposit,WA,Sand - undifferentiated,117.9097,-34.9177
Roberts Road Lot 66 Robinson,mineral deposit,WA,"Sand - undifferentiated, Limesand",117.8366,-35.0342
Roberts Road Lot 67 Robinson / AD Contractors,mineral deposit,WA,"Sand - undifferentiated, Limesand",117.8393,-35.0353
Wodgina Main Lode South,mineral deposit,WA,"Tantalum, Tin",118.676,-21.1791
Mungada Tor,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",116.9098,-29.1399
Willowdale Rd Wagerup Lot 2143 Stage 1,mineral deposit,WA,Gravel,115.9922,-32.9362
Lake MacLeod Gravel Borrow Pit 53,mineral deposit,WA,Gravel,113.494,-24.4534
Coyote Borrow Pit 1,mineral deposit,WA,Aggregate - undifferentiated,128.7768,-19.8991
Coyote Borrow Pit 3,mineral deposit,WA,Aggregate - undifferentiated,128.7641,-19.9003
Coyote Borrow Pit 4,mineral deposit,WA,Aggregate - undifferentiated,128.7571,-19.9044
Lake MacLeod Gravel Borrow Pit 54,mineral deposit,WA,Gravel,113.4976,-24.432
Lake MacLeod Gravel Borrow Pit 50,mineral deposit,WA,Gravel,113.494,-24.4378
Roelands Quarry,mineral deposit,WA,"Aggregate - marine, Aggregate - undifferentiated, Granite",115.8537,-33.2871
Creekside - Creekside North,mineral deposit,WA,"Tantalum pentoxide, Tantalum",122.1668,-31.5278
Lake Tay East,mineral deposit,WA,Gypsum,120.8426,-32.9156
Dresser 1,Mine - Openpit,WA,Barite,119.4335,-21.151
Big Stubby Ba,mineral deposit,WA,Barite,119.7533,-21.2202
Speewah NNE (Ba),Deposit - Unspecified,WA,Barite,128.0269,-16.315
Abra Barite,mineral deposit,WA,Barite,118.5869,-24.6453
Pincunah North 2,Deposit - Unspecified,WA,Iron,118.884,-21.143
Pincunah North 3,mineral deposit,WA,Iron,118.9144,-21.1793
Strelley Iron 1,Deposit - Unspecified,WA,Iron,119.0616,-21.1263
Strelley Iron 2,Deposit - Unspecified,WA,Iron,119.0565,-21.1185
Hawkstone Creek Kyanite,mineral deposit,WA,"Kyanite, Corundum - undifferentiated, Topaz",124.5721,-16.9483
Eleys Creek Alluvial,Mine - Openpit,WA,Tin,119.4939,-21.6527
Hillside Alluvial,mineral deposit,WA,Tin,119.4405,-21.7097
Brookton D,Deposit - Unspecified,WA,Kaolin,117.2889,-32.2594
Narrogin Clay,Mine - Openpit,WA,Clay - brick,117.1942,-32.9391
Tampu,Deposit - Unspecified,WA,Kaolin,117.8105,-30.2232
Trig Road 2 - Naturaliste N.P.,Mine - Openpit,WA,Limesand,115.0587,-34.1381
Bruce Road Gravel Crown Reserve 37424 - Part B,Mine - Openpit,WA,Gravel,115.0972,-34.1323
Vlam Road Gravel 3,Mine - Openpit,WA,Gravel,115.1001,-34.1406
Yandil West,mineral deposit,WA,Limestone,119.7129,-26.3952
Three Rivers South,mineral deposit,WA,Limestone,119.0939,-25.2484
Silent Valley West,mineral deposit,WA,Tin,124.6589,-16.8701
Bald Hill Eluvial 1,Mine - Openpit,WA,"Tin, Tantalum",122.1771,-31.5331
Nillibubbaca North / Boral,mineral deposit,WA,Sandstone,123.0953,-17.6685
Roe Hills South Shaft,mineral deposit,WA,Opal,122.4885,-31.0689
Mt Goldsworthy Satellites,Deposit - Unspecified,WA,Iron,119.514,-20.3536
Mt Francisco 1,mineral deposit,WA,Tin,118.5602,-21.3763
Ambergate West 4,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Monazite",115.3136,-33.7016
Ambergate West 5,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Monazite",115.3327,-33.7007
Newing,mineral deposit,WA,Kaolin,117.5855,-34.0462
Gittins,mineral deposit,WA,Kaolin,117.5293,-34.0426
Calgardup Cave East,mineral deposit,WA,Gravel,115.0372,-34.0489
Calgardup Cave North,Mine - Openpit,WA,Silica sand,115.0274,-34.0472
Forest Grove Road West,mineral deposit,WA,Sand - undifferentiated,115.0403,-34.0718
Redgate Road Gravel,mineral deposit,WA,Gravel,115.0972,-34.0289
Gelirah Pb,mineral deposit,WA,Lead,114.648,-28.5929
Roebuck Plains Safety Group,mineral deposit,WA,Sand - undifferentiated,122.6132,-18.0117
Sullivan Creek North / Holcim,Mine - Openpit,WA,Sand - undifferentiated,121.1635,-28.7405
Chris D,mineral deposit,WA,"Alumina, Aluminium, Iron, Lead, Phosphorus, Unspecified/Unknown, Manganese",121.2473,-21.6036
Camp East,mineral deposit,WA,"Alumina, Iron, Unspecified/Unknown, Manganese",121.2456,-21.6444
Hebe South - Dongara,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Rutile",115.187,-29.5217
Zeus South - Dongara,mineral deposit,WA,Heavy minerals,115.1245,-29.4271
Dalison Ave Lot 304 Wattleup / Italia,mineral deposit,WA,"Limestone, Dimension stone",115.8045,-32.1744
Mack Hill,mineral deposit,WA,Manganese,121.228,-21.6045
Lancelin Rd / Fazio,mineral deposit,WA,Limesand,115.4617,-31.2374
Couper - Danjinning,mineral deposit,WA,"Feldspar, Quartz - undifferentiated",118.0225,-30.594
Lake Goorly South,mineral deposit,WA,Gypsum,117.0086,-30.0067
Mt Burges Silica Pit 1,mineral deposit,WA,Silica sand,121.0321,-30.8088
Mt Burges Silica Pit 3,mineral deposit,WA,Silica sand,121.0154,-30.8096
Mt Burges Silica Pit 5,mineral deposit,WA,"Gravel, Silica sand",121.0214,-30.8032
Mt Burges Silica Pit 6-6A,mineral deposit,WA,Silica sand,121.0188,-30.8087
Nimingarra A,mineral deposit,WA,Iron,120.0372,-20.3893
Nimingarra F East,mineral deposit,WA,Iron,120.0048,-20.4349
Yarrie 6 West,mineral deposit,WA,Iron,120.3269,-20.6029
Yarrie 3 North,mineral deposit,WA,Iron,120.3065,-20.607
Yarrie 4,mineral deposit,WA,Iron,120.3138,-20.5974
Yarrie 8,mineral deposit,WA,Iron,120.3367,-20.5981
Yarrie 9,mineral deposit,WA,Iron,120.3421,-20.5967
Chesterfield Brt 3,mineral deposit,WA,"Barite, Lead",118.0038,-26.4434
Chesterfield Brt 4,mineral deposit,WA,Barite,118.0038,-26.4448
Range Well Ni 3,mineral deposit,WA,"Nickel, Cobalt",117.7492,-26.8122
Kimberley Sandstone - Brown,Mine - Openpit,WA,"Dimension stone, Sandstone",123.0324,-17.4794
Lake Clifton / Merrick Tyler,mineral deposit,WA,"Limestone, Limesand",115.713,-32.883
Buller Road Lot 3 Waroona / Meek,mineral deposit,WA,Sand - undifferentiated,115.8381,-32.86
Terrace 5 South Test Pit 2,mineral deposit,WA,Diamond - undifferentiated,124.7577,-17.5456
Terrace 5 South Test Pit 1,mineral deposit,WA,Diamond - undifferentiated,124.7866,-17.5557
Mt Newman Orebody 25 - Pit 1 East,mineral deposit,WA,Iron,119.7965,-23.326
Acton Park A,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Leucoxene, Monazite, Staurolite, Kyanite",115.3849,-33.7751
Acton Park B,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Leucoxene, Monazite, Staurolite, Kyanite",115.3958,-33.774
Acacia,mineral deposit,WA,"Alumina, Unspecified/Unknown, Iron",123.7428,-16.124
Barramundi East,mineral deposit,WA,"Alumina, Phosphorus, Unspecified/Unknown, Iron",123.7674,-16.1377
Chapman Hill Group,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon",115.3478,-33.7878
Excellence Drive Lot 14844 Wangara / City Wanneroo,mineral deposit,WA,Sand - undifferentiated,115.8374,-31.8019
Catalanos-Piggotts,mineral deposit,WA,"Unspecified/Unknown, Zircon, Heavy minerals, Ilmenite, Leucoxene, Rutile, Monazite, Staurolite, Kyanite",115.4532,-33.7539
Bowerbird Central,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron",119.9602,-26.7296
Karara - Blue Hills Group,Mine - Openpit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Sulphur, Iron, Magnetite",116.7744,-29.1875
Hematite Hill - Domain 1,mineral deposit,WA,"Iron, Magnetite",117.1444,-29.5507
Weaber Plain Southeast,mineral deposit,WA,Sand - undifferentiated,128.7473,-15.7424
Wandena Rd Lot 8 Bullsbrook / Catalano,mineral deposit,WA,Sand - undifferentiated,116.0309,-31.616
PAN 13/3,mineral deposit,WA,"Nickel, Cobalt",121.8186,-28.7926
PAN 13/8,mineral deposit,WA,"Nickel, Cobalt",121.8317,-28.774
Atlas / Image,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Ilmenite, Leucoxene, Rutile, Zircon, Garnet, Staurolite, Monazite",115.2489,-30.5382
Central - Mt Ida,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Alumina, Phosphorus, Sulphur, Iron, Magnetite",120.4139,-29.2188
Old Coast Road  Lot 5 Myalup / Carbone,mineral deposit,WA,"Agricultural Lime, Limestone",115.7156,-33.0928
Eagle Bay Gravel 1,mineral deposit,WA,Gravel,115.0493,-33.563
Eagle Bay Gravel 2,mineral deposit,WA,Gravel,115.0477,-33.5675
Eagle Bay Gravel / City of Busselton,mineral deposit,WA,Gravel,115.0416,-33.5666
Eagle Bay Gravel 3,mineral deposit,WA,Gravel,115.0355,-33.5653
Wedge Island South Dune,mineral deposit,WA,Limesand,115.2198,-30.8207
Lake Disappointment Pilot Ponds Potash,mineral deposit,WA,"Potassium, Salt",122.8147,-23.2818
Coconut Wells New,mineral deposit,WA,"Gravel, Sand - undifferentiated",122.2233,-17.8463
Paulsens East Main Pit,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",116.337,-22.5628
Connie,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",119.1051,-20.3116
Mt Farmer South,Mine - Openpit,WA,"Beryl - undifferentiated, Tourmaline",117.2627,-27.7193
Warda Warra Hill,mineral deposit,WA,"Beryl - emerald, Beryl - undifferentiated, Unspecified/Unknown",117.1363,-27.5736
Mt Narryer Iron,mineral deposit,WA,Iron,116.3645,-26.5322
Governess North,mineral deposit,WA,Limestone,117.7256,-27.3824
Coodardy N,mineral deposit,WA,Beryl - undifferentiated,117.6519,-27.177
Great Eastern - Poona,mineral deposit,WA,"Tin, Tantalum",117.4295,-27.1134
Emerald Gem,mineral deposit,WA,"Beryl - emerald, Beryl - undifferentiated",117.5263,-27.1183
Solomon,mineral deposit,WA,Beryl - emerald,117.4546,-27.129
Patons Lode,mineral deposit,WA,Lithium,117.4234,-27.1186
Nimingarra F,mineral deposit,WA,Iron,120.0005,-20.4345
Nimingarra 1,mineral deposit,WA,Iron,120.0036,-20.4437
Grylls - Jubuk,mineral deposit,WA,Kaolin,117.6989,-32.3808
Smiths - Jubuk,mineral deposit,WA,Kaolin,117.72,-32.3845
Guinness South - Jubuk,mineral deposit,WA,Kaolin,117.6897,-32.4251
Ling - Jubuk,mineral deposit,WA,Kaolin,117.6965,-32.4085
Top Valley - Jubuk,mineral deposit,WA,Kaolin,117.708,-32.4279
Hematite Hill,mineral deposit,WA,Iron,120.131,-20.5183
Mungada Wagonwheel,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",116.9104,-29.1444
Mt Anketell B,mineral deposit,WA,"Iron, Magnetite",117.0935,-20.7137
Dawson Well East,mineral deposit,WA,"Uranium oxide, Uranium, Vanadium",120.1259,-26.9053
Wellesley Rd Lot 5 Wellesley / Carbone,mineral deposit,WA,Sand - undifferentiated,115.7555,-33.1519
Lake Way D,mineral deposit,WA,Uranium,120.3452,-26.717
Eight Mile Rock Hole Sand,mineral deposit,WA,"Sand - undifferentiated, Silica sand",120.9772,-30.809
Eight Mile Rock Hole Gravel,mineral deposit,WA,Gravel,121.0054,-30.8025
Brockman 4 - Pit 3 East,Mine - Openpit,WA,Iron,117.2296,-22.5969
Brockman 4 - Pit 2 Interim,Mine - Openpit,WA,Iron,117.1781,-22.6095
Tutunup Extended / Iluka,Mine - Openpit,WA,"Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Leucoxene",115.522,-33.7125
Tutunup Group / Cristal,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Leucoxene",115.5386,-33.6958
Binningup Sand - Lot 8 / Catalano,mineral deposit,WA,"Limestone, Sand - undifferentiated",115.7048,-33.1332
Amy South A,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1287,-26.7601
Amy South B,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1235,-26.7208
Amy South C,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1139,-26.6756
Amy South D,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1166,-26.6422
Amy South E,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1303,-26.642
Amy South Inferred,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1129,-26.5764
Amy North,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1086,-26.5061
